number,ID,TITLE,SONG
9,9,If you know the Lord is keeping you,"If you know the Lord is keeping you, what are you worrying about ?
If you know the Lord is keeping you, why don't you sing and shout ?
Glory hallelujah, praise his name
Everyday He's just the same
If you know the Lord is keeping you, what are you worrying about ?"
10,10,Oh let the fire fall on me my Lord,"Oh let the fire fall on me my Lord
Let the fire fall on me
Oh let the fire from Heaven, fall on me
Let the fire fall on me"
17,17,The Holy Ghost power is moving just like a magnet,"The Holy Ghost power is moving just like a magnet
The Holy Ghost power is moving just like a magnet
He's moving here, moving there
Just like the day of Pentecost
The Holy Ghost power is moving just like a magnet"
19,19,I keep falling in love with Him,"I keep falling in love with Him, over and over and over and over again
I keep falling in love with Him, over and over and over and over again
He gets sweeter and sweeter as the days go by
0h, what joy between my Lord and I
I keep falling in love with Him over and over and over and over again"
23,23,Mine,"Mine, mine, mine, Jesus is mine
Mine when I'm weary
Mine when I'm dreary
Mine, mine, mine, Jesus is mine
Jesus alone is mine"
23,23,Jesus a Fi Mi,"Fi mi, fi mi, fi mi, 
Jesus a fi mi,
Fi mi when mi weary
Fi mi when mi dreary
Fi mi, Fi mi, Fi mi, 
Jesus a fi mi,
Jesus alone a 
fi mi, fi mi, fi mi
Fi yu, fi yu, fi yu, 
Jesus a fi yu,
Fi yu when yu weary
Fi yu when yu dreary
Fi yu, Fi yu, Fi yu, 
Jesus a fi yu,
Jesus alone a 
fi yu, fi yu, fi yu
Fi wi, fi wi, fi wi, 
Jesus a fi wi,
Fi wi when wi weary
Fi wi when wi dreary
Fi wi, Fi wi, Fi wi, 
Jesus a fi wi,
Jesus alone a 
fi wi, fi wi, fi wi
Fi mi, fi yu, fi wi, 
Jesus a fi wi,
Fi wi when wi weary
Fi wi when wi dreary
Fi mi, fi yu, fi wi, 
Jesus a fi wi,
Jesus alone a 
Fi mi, fi yu, fi wi"
29,29,The blood prevails,"The blood prevails, the blood of the risen lamb
There's power to save, just like in olden days
The blood prevails, no matter what others say
Thank God the blood prevails"
30,30,I Love That Man From Galilee,"I love that Man from Galilee
For he has done so very much for me
He has taken all my sins
And let the Holy Ghost come in
I love that Man, that Man from Galilee"
41,41,Thank you Lord,"Thank you Lord, Thank you Lord
That you ever thought of me
Thank you Lord, Thank you Lord
That you ever thought of me
Many are the blessings that you give unto me
Blessings overflowing like a mighty sea
Lord I want to thank you, for your love to me
Thank you Lord, Thank you Lord
Thank you Lord, Thank you Lord
That you ever thought of me"
42,42,I've Found a New Life,"I've found a new life, I've found a new life
If anybody asks you, what's the matter with me (my friend)
Tell them that I am saved, sanctified, Holy Ghost filled,
Water baptized, Jesus on my mind
I've found a new life"
44,44,The windows of heaven are open,"The windows of heaven are open
The blessings are falling tonight
It brings joy, joy, joy in my heart
Since Jesus made everything right
I gave him my old tattered garment (Exchanging)
He gave me a robe of pure white
I'm feasting on Heavenly manna
That's why I'm so happy tonight"
45,45,A little more oil in my lamp keeps it burning,"A little more oil in my lamp keeps it burning
A little more oil in my lamp I pray
A little more oil in my lamp keeps it burning
Keeps it burning till the break of day"
47,47,Sweet Jesus,"Sweet Jesus, sweet Jesus, what a wonder you are
You are brighter than the morning star
You are fairer, much fairer than the lilies that grow by the wayside
you are precious, more precious than gold"
52,52,Fire,"Fire, fire, fire, fire fall on me
Fire, fire, fire, fire fall on me
Like the day of Pentecost, fire fall on me
Like the day of Pentecost, fire fall on me"
54,54,It's coming down,"It's coming down, down, down it's coming down
When the glory of the Lord is coming down (hallelujah)
When the saints began to pray 
And the Lord Shall have his way
And the glory of the Lord is coming down"
56,56,Goodbye world,"Goodbye world, I stay no longer with you
Goodbye pleasures if sin, I stay no longer with you
I've made up my mind to go God's way the rest of my life
I've made up my mind to go God's way the rest of my life"
57,57,Great change since I was born,"Great change since I was born
Great change since I was born
Great change since I was born
It's been a great change since I was born
Things I used to do, I do them no more
Places I used to go, I go there no more
Things I used to say, I say them no more
It's been a great change since I was born"
60,60,I feel good,"I feel good, good, good, 
I feel good, wonderful, good
Everytime I talk about Jesus
I feel good, good, good"
62,62,You'd better get right with God,"You'd better get right with God
Come and do it now
Under the cross of Jesus, I lay my burdens down
You'd better get right With God
come and do it now
Get right, get Right, get right with God"
63,63,It won't be long,"It won't be long, it won't be long
We'll soon be leaving, this old world of sin and woe
up above the clouds we'll go
It won't be long, so stop your grieving
For our blessed Saviour is coming to take us home"
64,64,You can count on me,"You can count on me
I'm working for my Saviour
Faithful I will be
I will fight with all my might
You can count on me"
65,65,Send some more Elijah,"Send some more Elijah, to pray the power down
Send some fire and also send the rain
To heal the sick, raise the dead and glorify God's name
I would like to hear Elijah pray again"
66,66,Carry on for Jesus,"Carry on for Jesus, every day, carry on
For him while here below, step by step, the
Rugged Cross I bear, Carry on for him"
67,67,You can have the whole world,"You can have the whole world, but give me Jesus
You can have the whole world, but give me Jesus
You can have the whole world, but give me Jesus
I wont turn back, I wont turn back
The cross before me, the world behind me
The cross before me, the world behind me
The cross before me, the world behind me
I won't turn back, I won't turn back
My Jesus saved me, and now I'm happy
My Jesus saved me, and now I'm happy
My Jesus saved me, and now I'm happy
I won't turn back, I won't turn back"
68,68,When we get together at the marriage supper,"When we get together at the marriage supper
All the saints shall gather at the last assemble
No more sad parting, no more heart breaking
Farewell to sorrow, victory at last"
69,69,I'm gonna walk those streets of glory by and by,"I'm gonna walk those streets of glory by and by
I'm gonna walk those streets of glory by and by
I'm gonna walk those streets of glory
I'm gonna sing redemption story
I'm gonna walk those streets of glory by and by"
70,70,Sailing on as I go sailing on,"Sailing on as I go sailing on
Sailing on as I go sailing on
With Christ in the vessel
I'll smile at the storm
As I go sailing on"
71,71,When we get together in the Church of God,"When we get together in the Church of God
Singing in the Power of the Holy Ghost
Together we'll sit in Zion's School
Obeying every rule, Oh glory
Book of books, Law-of Laws
Peace and eternal life
Happy we'll be and always be
In the blessed Church of God"
72,72,Smile a while,"Smile a while, then give your face a rest
Raise your hand to the one you love the best
Then shake hands with the one your by
And greet them with a smile"
73,73,By and by when the morning comes,"By and by when the morning comes
When all the saints of God are gathered home
We will tell the story how we overcome
We will understand it better by and by"
74,74,Better days are coming,"Better days are coming, by and by
When we reach that city in the sky
Sorrows will be over
Joy will come at last
Better days are coming, by and by"
75,75,I'm feeling very happy,"I'm feeling very happy
Talking about the good old way
I'm feeling very happy
Talking about the Lord
Let's go on, let's go on
Talking about the good old way
Let's go on, let's go on
Talking about the Lord"
76,76,John saw them coming,"John saw them coming, John saw them coming
John saw them coming, robed in white
The blood-washed number, the blood-washed number
John saw them coming, robed in white
OR John saw them coming, John saw them coming
John saw them coming, robed in white
They were all numbered
They were all numbered
They were all numbered, robed in white"
77,77,Oh the love,"Oh the love, the love of Jesus
Oh the love, the love of Jesus
Oh the love, the love of Jesus
Jesus loves me and I cannot tell why
Jesus saw my soul was going down to hell
Jesus saw my soul was going down to hell
Jesus saw my soul was going down to hell
Jesus loves me and I cannot tell why"
78,78,When I think of the goodness of Jesus,"When I think of the goodness of Jesus
And all he has done for me
My soul cries out hallelujah !
Thank God for saving me"
79,79,He wrote my name way up,"He wrote my name way up, way up in glory land
Jesus saved my soul from all sin and shame
I can't forget the day when he came
Blessed Jesus wrote my name"
80,80,He's sweet I know,"He's sweet I know, he's sweet I know
Storm clouds may rise and strong winds may blow
But I'll tell the world wherever I go
That I've found the Saviour
And he's sweet I know"
